Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
82	0.0255638	-0.0014575	-0.00172625	0.00786333	-1.66667e-05	-0.0170417	0.00083125	-0.0029975	-0.0242038	-0.00912667	-0.00284333	-0.0383567	-0.00311875	-0.0050475	-0.0145525	-0.00204833	-0.00336167	-0.012845	0	0	0	0	0	0
83	0.0223425	0.00313	-0.0059975	0.00702333	0.00230667	-0.022085	0.00100125	-0.003835	-0.0292875	-0.00891833	-0.00339833	-0.0431117	-0.003305	-0.005625	-0.015675	-0.00221167	-0.00358	-0.0139733	0	0	0	0	0	0
84	0.0146613	0.00681125	-0.00200375	0.00879	0.00296667	-0.0281133	-0.0007375	-0.00409375	-0.0317025	-0.0084	-0.00364833	-0.045695	-0.00350875	-0.0064975	-0.0170088	-0.002515	-0.00414167	-0.0155417	0	0	0	0	0	0
85	0.00760625	0.008575	0.003815	0.0113367	0.00342833	-0.0324767	-0.0034825	-0.0039425	-0.03358	-0.00732	-0.00314	-0.048595	-0.00379375	-0.007685	-0.01872	-0.00283167	-0.00475	-0.017355	0	0	0	0	0	0
86	0.00947125	0.00947375	0.0029375	0.0133517	0.00492	-0.03422	-0.00517625	-0.0035225	-0.0374425	-0.00662333	-0.002025	-0.0521633	-0.00415875	-0.0090275	-0.0208363	-0.00305667	-0.00531	-0.0191617	0	0	0	0	0	0
87	0.0177138	0.0104038	-0.00513375	0.01456	0.00671167	-0.0364033	-0.00583625	-0.002855	-0.0444012	-0.006945	-0.000586667	-0.0568217	-0.00455625	-0.0102413	-0.022945	-0.00312833	-0.00564667	-0.0204483	0	0	0	0	0	0
88	0.0241012	0.0104613	-0.0202725	0.014465	0.00813667	-0.0403783	-0.00593375	-0.0018775	-0.0554638	-0.00833167	0.00122833	-0.06358	-0.004855	-0.01074	-0.0240187	-0.00303667	-0.00544	-0.0206783	0	0	0	0	0	0
89	0.0258325	0.0104413	-0.0444463	0.0231633	0.00908333	-0.0551333	-0.004065	-0.00065125	-0.0729025	-0.00775167	0.00359167	-0.0766267	-0.0048775	-0.0100375	-0.0232213	-0.00288833	-0.00438333	-0.0197467	0	0	0	0	0	0
90	0.024045	0.01035	-0.0793225	0.03419	0.00977833	-0.0920183	0.0005825	0.0005625	-0.09734	-0.00680333	0.00557333	-0.098005	-0.004535	-0.00824125	-0.0204962	-0.00272667	-0.00258833	-0.01769	0	0	0	0	0	0
91	0.0260425	0.00801125	-0.131489	0.0337483	0.00968167	-0.151398	0.0092025	0.00158625	-0.128926	-0.00871333	0.006005	-0.126515	-0.0038025	-0.005585	-0.0163538	-0.00244167	-0.000538333	-0.0147267	0	0	0	0	0	0
92	0.0366713	0.00399	-0.203957	0.026555	0.00880333	-0.220002	0.0209888	0.00203	-0.166821	-0.012455	0.00495167	-0.159313	-0.00268125	-0.00258	-0.0114175	-0.00195833	0.00135167	-0.0113567	0	0	0	0	0	0
93	0.05894	0.00050875	-0.2968	0.0221833	0.00803667	-0.28686	0.0334075	0.002025	-0.208724	-0.0164867	0.0036	-0.191987	-0.0013775	0.00028625	-0.006325	-0.001405	0.00304	-0.00806333	0	0	0	0	0	0
94	0.0836988	-0.00052	-0.405746	0.0250383	0.00783667	-0.354742	0.04327	0.0027425	-0.249965	-0.0191017	0.00335	-0.221257	-0.00026375	0.0028	-0.00181	-0.000975	0.00484833	-0.00492833	0	0	0	0	0	0
95	0.0922975	0.00167625	-0.510246	0.0329567	0.00884667	-0.422757	0.0494375	0.00585875	-0.282761	-0.01754	0.00515333	-0.242203	0.0003675	0.0050775	0.0016825	-0.000705	0.00708333	-0.00179	0	0	0	0	0	0
