Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
87	0.00324333	0.00088	-0.145117	0.0854325	0.0052775	-0.0819275	0.00117667	0.00844333	-0.1177	0.0165425	0.0084425	-0.101093	-0.00309667	-0.00462	-0.0252267	-0.00223	-0.005105	-0.0272525	0	0	0	0	0	0
88	-0.0109567	0.000766667	-0.166427	0.059035	0.00492	-0.100048	0.00416667	0.0103267	-0.153	0.0168175	0.0090825	-0.1305	-0.00359333	-0.00204667	-0.0255267	-0.0021875	-0.00409	-0.026175	0	0	0	0	0	0
89	-0.0246033	0.00068	-0.201757	0.024325	0.0029925	-0.143838	0.00015	0.00979	-0.190867	0.01328	0.007705	-0.167335	-0.00383	-1.33333e-05	-0.02481	-0.0018775	-0.0031225	-0.024245	0	0	0	0	0	0
90	-0.0467767	0.000186667	-0.241717	-0.020615	-0.002645	-0.209463	-0.0159267	0.00690333	-0.22435	0.0044725	0.004665	-0.206328	-0.00357333	0.000686667	-0.0229233	-0.00137	-0.0024225	-0.021745	0	0	0	0	0	0
91	-0.0774167	-0.00121	-0.281393	-0.0685075	-0.01099	-0.279502	-0.04189	0.00371667	-0.25199	-0.0071725	0.001405	-0.24221	-0.00287667	0.00067	-0.0192867	-0.0008125	-0.001685	-0.0184525	0	0	0	0	0	0
92	-0.108123	-0.00249	-0.31767	-0.106613	-0.0164475	-0.333537	-0.0705567	0.00240333	-0.277237	-0.017495	-0.0005	-0.272878	-0.00181	0.00119	-0.01325	-0.0003225	-0.0003275	-0.0138725	0	0	0	0	0	0
93	-0.135213	-0.00243	-0.35069	-0.128477	-0.017175	-0.37075	-0.0943933	0.00349333	-0.303587	-0.0239675	-0.00052	-0.298602	-0.0005	0.00288	-0.00523	0.0001075	0.0017075	-0.0080025	0	0	0	0	0	0
94	-0.154737	-0.00148667	-0.387307	-0.133263	-0.01715	-0.406977	-0.106503	0.00554	-0.330077	-0.0262975	0.0007775	-0.319995	0.000813333	0.00542333	0.00308	0.00053	0.003825	-0.0016675	0	0	0	0	0	0
95	-0.161667	-0.00184333	-0.426473	-0.121798	-0.0187625	-0.448912	-0.106243	0.00579333	-0.348877	-0.0242125	0.00239	-0.336175	0.00202	0.00746667	0.00943667	0.0009575	0.0053575	0.003915	0	0	0	0	0	0
96	-0.16068	-0.00519667	-0.452957	-0.10073	-0.020215	-0.482595	-0.10012	0.00264333	-0.351487	-0.0181975	0.00339	-0.344477	0.00299	0.00759333	0.01228	0.001325	0.0059475	0.007745	0	0	0	0	0	0
97	-0.159323	-0.00993333	-0.457383	-0.0814675	-0.0209125	-0.4935	-0.0921733	-0.00232667	-0.336393	-0.011275	0.00339	-0.341608	0.00334333	0.00599	0.01157	0.0015525	0.00566	0.0094075	0	0	0	0	0	0
